,0
0,19
1,19
2,20
3,19
4,19
5,19
6,19
7,19
8,19
9,19
10,19
11,19
12,19
13,19
14,19
15,19
16,19
17,19
18,19
19,19
20,19
21,19
22,19
23,19
24,19
25,19
26,20
27,19
28,19
29,19
30,19
31,19
32,19
33,19
34,19
35,19
36,19
37,19
38,19
39,19
40,19
41,19
42,19
43,19
44,19
45,19
46,19
47,19
48,20
49,19
50,20
51,19
52,19
53,19
54,19
55,19
56,19
57,19
58,19
59,19
60,19
61,19
62,19
63,19
64,19
65,19
66,19
67,19
68,19
69,19
70,19
71,19
72,18
73,18
74,19
75,19
76,19
77,18
78,19
79,19
80,19
81,19
82,18
83,18
84,18
85,19
86,18
87,19
88,18
89,18
90,18
91,18
92,18
93,19
94,18
95,18
96,18
97,18
98,18
99,18
100,19
101,18
102,19
103,18
104,18
105,18
106,18
